emoji,group,before path,old_path,image_path,
🙌🏽,hand,1f64c-1f3fd.svg,emoji_images/1f64c-1f3fd.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64c-1f3fd.svg,
🙏,hand,1f64f.svg,emoji_images/1f64f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64f.svg,
🙏🏼,hand,1f64f-1f3fc.svg,emoji_images/1f64f-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64f-1f3fc.svg,
🙏🏽,hand,1f64f-1f3fd.svg,emoji_images/1f64f-1f3fd.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64f-1f3fd.svg,
🚀,transportation,1f680.svg,emoji_images/1f680.svg,https://twemoji.maxcdn.com/v/latest/svg/1f680.svg,
🚂,transportation,1f682.svg,emoji_images/1f682.svg,https://twemoji.maxcdn.com/v/latest/svg/1f682.svg,
🚌,transportation,1f68c.svg,emoji_images/1f68c.svg,https://twemoji.maxcdn.com/v/latest/svg/1f68c.svg,
🚏,misc,1f68f.svg,emoji_images/1f68f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f68f.svg,
🚘,transportation,1f698.svg,emoji_images/1f698.svg,https://twemoji.maxcdn.com/v/latest/svg/1f698.svg,
🚚,transportation,1f69a.svg,emoji_images/1f69a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f69a.svg,
🚜,tool,1f69c.svg,emoji_images/1f69c.svg,https://twemoji.maxcdn.com/v/latest/svg/1f69c.svg,
🚤,transportation,1f6a4.svg,emoji_images/1f6a4.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6a4.svg,
🚧,misc,1f6a7.svg,emoji_images/1f6a7.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6a7.svg,
🚨,misc,1f6a8.svg,emoji_images/1f6a8.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6a8.svg,
🚩,flag,1f6a9.svg,emoji_images/1f6a9.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6a9.svg,
🚪,misc,1f6aa.svg,emoji_images/1f6aa.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6aa.svg,
🚲,transportation,1f6b2.svg,emoji_images/1f6b2.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6b2.svg,
🚶\u200d♂️,misc,1f6b6-1f3fb-200d-2640-fe0f.svg,emoji_images/1f6b6-1f3fb-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6b6-1f3fb-200d-2640-fe0f.svg,
🚽,furniture,1f6bd.svg,emoji_images/1f6bd.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6bd.svg,
🛁,furniture,1f6c1.svg,emoji_images/1f6c1.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6c1.svg,
🛍️,misc,1f6cd.svg,emoji_images/1f6cd.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6cd.svg,
🛏️,furniture,1f6cf.svg,emoji_images/1f6cf.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6cf.svg,
🛒,misc,1f6d2.svg,emoji_images/1f6d2.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6d2.svg,
🛕,misc,1f6d5.svg,emoji_images/1f6d5.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6d5.svg,
🛠,tool,1f6e0.svg,emoji_images/1f6e0.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6e0.svg,
🛤,misc,1f6e4.svg,emoji_images/1f6e4.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6e4.svg,
🛥,transportation,1f6e5.svg,emoji_images/1f6e5.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6e5.svg,
🛩,transportation,1f6e9.svg,emoji_images/1f6e9.svg,https://twemoji.maxcdn.com/v/latest/svg/1f6e9.svg,
🟣,misc,1f7e3.svg,emoji_images/1f7e3.svg,https://twemoji.maxcdn.com/v/latest/svg/1f7e3.svg,
🤍,heart,1f90d.svg,emoji_images/1f90d.svg,https://twemoji.maxcdn.com/v/latest/svg/1f90d.svg,
🤎,heart,1f90e.svg,emoji_images/1f90e.svg,https://twemoji.maxcdn.com/v/latest/svg/1f90e.svg,
🤑,sentiment,1f911.svg,emoji_images/1f911.svg,https://twemoji.maxcdn.com/v/latest/svg/1f911.svg,
🤓,sentiment,1f913.svg,emoji_images/1f913.svg,https://twemoji.maxcdn.com/v/latest/svg/1f913.svg,
🤔,sentiment,1f914.svg,emoji_images/1f914.svg,https://twemoji.maxcdn.com/v/latest/svg/1f914.svg,
🤖,sentiment,1f916.svg,emoji_images/1f916.svg,https://twemoji.maxcdn.com/v/latest/svg/1f916.svg,
🤗,sentiment,1f917.svg,emoji_images/1f917.svg,https://twemoji.maxcdn.com/v/latest/svg/1f917.svg,
🤙,hand,1f919.svg,emoji_images/1f919.svg,https://twemoji.maxcdn.com/v/latest/svg/1f919.svg,
🤙🏻,hand,1f919-1f3fb.svg,emoji_images/1f919-1f3fb.svg,https://twemoji.maxcdn.com/v/latest/svg/1f919-1f3fb.svg,
🤚,hand,1f91a.svg,emoji_images/1f91a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91a.svg,
🤚🏼,hand,1f91a-1f3fc.svg,emoji_images/1f91a-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91a-1f3fc.svg,
🤝,hand,1f91d.svg,emoji_images/1f91d.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91d.svg,
🤞,hand,1f91e.svg,emoji_images/1f91e.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91e.svg,
🤞🏻,hand,1f91e-1f3fb.svg,emoji_images/1f91e-1f3fb.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91e-1f3fb.svg,
🤞🏼,hand,1f91e-1f3fc.svg,emoji_images/1f91e-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f91e-1f3fc.svg,
